Instance,Greedy Basic,Greedy Advanced,VNS Basic,VNS Advanced,Hybrid Advanced
instance_large_10_mixed.txt,0.0,528.5,56.5,548.5,540.5
instance_large_10_multiple_duplicates.txt,0.0,540.5,100.5,560.5,548.5
instance_large_10_one_duplicate.txt,0.0,556.5,52.5,556.5,564.5
instance_large_10_random.txt,0.0,540.5,36.5,544.5,544.5
instance_large_1_mixed.txt,0.0,564.5,76.5,568.5,568.5
instance_large_1_multiple_duplicates.txt,0.0,544.5,124.5,556.5,552.5
instance_large_1_one_duplicate.txt,0.0,544.5,76.5,556.5,552.5
instance_large_1_random.txt,0.0,548.5,128.5,560.5,556.5
instance_large_2_mixed.txt,0.0,524.5,60.5,532.5,544.5
instance_large_2_multiple_duplicates.txt,0.0,552.5,100.5,584.5,572.5
instance_large_2_one_duplicate.txt,0.0,568.5,64.5,588.5,580.5
instance_large_2_random.txt,0.0,552.5,48.5,568.5,560.5
instance_large_3_mixed.txt,0.0,524.5,92.5,540.5,536.5
instance_large_3_multiple_duplicates.txt,0.0,528.5,100.5,528.5,528.5
instance_large_3_one_duplicate.txt,0.0,520.5,68.5,524.5,524.5
instance_large_3_random.txt,0.0,548.5,60.5,552.5,560.5
instance_large_4_mixed.txt,0.0,564.5,96.5,572.5,576.5
instance_large_4_multiple_duplicates.txt,0.0,560.5,64.5,564.5,572.5
instance_large_4_one_duplicate.txt,0.0,552.5,104.5,560.5,560.5
instance_large_4_random.txt,0.0,536.5,88.5,552.5,544.5
instance_large_5_mixed.txt,0.0,560.5,88.5,568.5,568.5
instance_large_5_multiple_duplicates.txt,0.0,568.5,84.5,572.5,576.5
instance_large_5_one_duplicate.txt,0.0,548.5,56.5,548.5,548.5
instance_large_5_random.txt,0.0,552.5,100.5,556.5,564.5
instance_large_6_mixed.txt,0.0,540.5,120.5,544.5,560.5
instance_large_6_multiple_duplicates.txt,0.0,568.5,24.5,572.5,568.5
instance_large_6_one_duplicate.txt,0.0,552.5,80.5,560.5,560.5
instance_large_6_random.txt,0.0,536.5,68.5,556.5,548.5
instance_large_7_mixed.txt,0.0,548.5,48.5,548.5,548.5
instance_large_7_multiple_duplicates.txt,0.0,544.5,80.5,560.5,564.5
instance_large_7_one_duplicate.txt,0.0,560.5,60.5,560.5,560.5
instance_large_7_random.txt,0.0,560.5,112.5,560.5,564.5
instance_large_8_mixed.txt,0.0,536.5,68.5,548.5,540.5
instance_large_8_multiple_duplicates.txt,0.0,548.5,56.5,556.5,556.5
instance_large_8_one_duplicate.txt,0.0,556.5,72.5,560.5,560.5
instance_large_8_random.txt,0.0,556.5,116.5,560.5,560.5
instance_large_9_mixed.txt,0.0,548.5,108.5,556.5,548.5
instance_large_9_multiple_duplicates.txt,0.0,544.5,80.5,552.5,548.5
instance_large_9_one_duplicate.txt,0.0,552.5,84.5,568.5,560.5
instance_large_9_random.txt,0.0,564.5,96.5,572.5,572.5
instance_medium_10_mixed.txt,0.0,124.5,76.5,128.5,128.5
instance_medium_10_multiple_duplicates.txt,0.0,108.5,84.5,124.5,116.5
instance_medium_10_one_duplicate.txt,0.0,120.5,60.5,128.5,124.5
instance_medium_10_random.txt,0.0,112.5,108.5,124.5,120.5
instance_medium_1_mixed.txt,0.0,112.5,116.5,116.5,116.5
instance_medium_1_multiple_duplicates.txt,0.0,104.5,104.5,108.5,108.5
instance_medium_1_one_duplicate.txt,0.0,116.5,116.5,116.5,120.5
instance_medium_1_random.txt,0.0,112.5,76.5,124.5,120.5
instance_medium_2_mixed.txt,0.0,116.5,28.5,120.5,120.5
instance_medium_2_multiple_duplicates.txt,0.0,104.5,76.5,108.5,112.5
instance_medium_2_one_duplicate.txt,0.0,108.5,112.5,120.5,116.5
instance_medium_2_random.txt,0.0,108.5,96.5,112.5,116.5
instance_medium_3_mixed.txt,0.0,116.5,100.5,132.5,124.5
instance_medium_3_multiple_duplicates.txt,0.0,108.5,56.5,112.5,112.5
instance_medium_3_one_duplicate.txt,0.0,116.5,112.5,116.5,116.5
instance_medium_3_random.txt,0.0,112.5,112.5,112.5,112.5
instance_medium_4_mixed.txt,0.0,112.5,28.5,116.5,116.5
instance_medium_4_multiple_duplicates.txt,0.0,108.5,100.5,120.5,120.5
instance_medium_4_one_duplicate.txt,0.0,128.5,44.5,128.5,136.5
instance_medium_4_random.txt,0.0,124.5,112.5,128.5,128.5
instance_medium_5_mixed.txt,0.0,116.5,76.5,116.5,116.5
instance_medium_5_multiple_duplicates.txt,0.0,104.5,104.5,116.5,112.5
instance_medium_5_one_duplicate.txt,0.0,124.5,88.5,132.5,128.5
instance_medium_5_random.txt,0.0,116.5,116.5,120.5,124.5
instance_medium_6_mixed.txt,0.0,104.5,68.5,108.5,108.5
instance_medium_6_multiple_duplicates.txt,0.0,112.5,92.5,120.5,124.5
instance_medium_6_one_duplicate.txt,0.0,120.5,112.5,128.5,128.5
instance_medium_6_random.txt,0.0,116.5,108.5,120.5,124.5
instance_medium_7_mixed.txt,0.0,124.5,84.5,124.5,128.5
instance_medium_7_multiple_duplicates.txt,0.0,108.5,112.5,116.5,116.5
instance_medium_7_one_duplicate.txt,0.0,108.5,48.5,116.5,116.5
instance_medium_7_random.txt,0.0,112.5,104.5,120.5,116.5
instance_medium_8_mixed.txt,0.0,104.5,100.5,104.5,112.5
instance_medium_8_multiple_duplicates.txt,0.0,116.5,116.5,120.5,124.5
instance_medium_8_one_duplicate.txt,0.0,108.5,104.5,116.5,116.5
instance_medium_8_random.txt,0.0,108.5,108.5,112.5,112.5
instance_medium_9_mixed.txt,0.0,104.5,64.5,108.5,112.5
instance_medium_9_multiple_duplicates.txt,0.0,120.5,96.5,128.5,120.5
instance_medium_9_one_duplicate.txt,0.0,104.5,52.5,112.5,112.5
instance_medium_9_random.txt,0.0,116.5,84.5,120.5,120.5
instance_small_10_mixed.txt,0.0,20.5,12.5,24.5,24.5
instance_small_10_multiple_duplicates.txt,0.0,20.5,16.5,20.5,20.5
instance_small_10_one_duplicate.txt,0.0,16.5,16.5,20.5,20.5
instance_small_10_random.txt,0.0,12.5,16.5,12.5,12.5
instance_small_1_mixed.txt,0.0,16.5,20.5,16.5,16.5
instance_small_1_multiple_duplicates.txt,0.0,20.5,20.5,24.5,24.5
instance_small_1_one_duplicate.txt,0.0,20.5,16.5,24.5,20.5
instance_small_1_random.txt,0.0,20.5,20.5,20.5,20.5
instance_small_2_mixed.txt,0.0,24.5,20.5,24.5,24.5
instance_small_2_multiple_duplicates.txt,0.0,24.5,20.5,28.5,28.5
instance_small_2_one_duplicate.txt,0.0,16.5,20.5,24.5,20.5
instance_small_2_random.txt,0.0,20.5,16.5,20.5,20.5
instance_small_3_mixed.txt,0.0,20.5,16.5,28.5,28.5
instance_small_3_multiple_duplicates.txt,0.0,24.5,24.5,24.5,24.5
instance_small_3_one_duplicate.txt,0.0,20.5,20.5,20.5,20.5
instance_small_3_random.txt,0.0,20.5,16.5,20.5,20.5
instance_small_4_mixed.txt,0.0,16.5,16.5,16.5,16.5
instance_small_4_multiple_duplicates.txt,0.0,24.5,20.5,24.5,24.5
instance_small_4_one_duplicate.txt,0.0,20.5,16.5,20.5,20.5
instance_small_4_random.txt,0.0,16.5,24.5,20.5,20.5
instance_small_5_mixed.txt,0.0,20.5,20.5,20.5,20.5
instance_small_5_multiple_duplicates.txt,0.0,24.5,20.5,24.5,24.5
instance_small_5_one_duplicate.txt,0.0,20.5,8.5,20.5,20.5
instance_small_5_random.txt,0.0,20.5,20.5,24.5,24.5
instance_small_6_mixed.txt,0.0,16.5,20.5,16.5,16.5
instance_small_6_multiple_duplicates.txt,0.0,20.5,16.5,20.5,20.5
instance_small_6_one_duplicate.txt,0.0,24.5,20.5,28.5,28.5
instance_small_6_random.txt,0.0,24.5,24.5,28.5,28.5
instance_small_7_mixed.txt,0.0,20.5,20.5,20.5,20.5
instance_small_7_multiple_duplicates.txt,0.0,20.5,12.5,20.5,20.5
instance_small_7_one_duplicate.txt,0.0,16.5,24.5,20.5,16.5
instance_small_7_random.txt,0.0,20.5,20.5,24.5,24.5
